ID,캐릭터 이름,대사
1,나레이션,푸른 지구별이라는 말이 무색하게 지구는 서서히...\n그리고 빠르게 병들어 갔습니다.
,,우리 지구에서는 정말로 더 이상 식물을 볼 수 없게 되는걸까요?
,,세계정부의 발표에 따르면…
2,태오,…
3,연구원,뭐해? 이제 시간 다 됐어. 시작하자.
,,"테오, 출발하기 전에 메뉴얼을 다시 한 번 설명해줄까?"
4,태오,응. 다시 설명해줘.
,,아니. 괜찮아.
5,연구원,그럼 다시 설명할게. 너는 이 시간 역행 장치에 탑승하면 2053년으로 전송될거야.
,,거기서 식물을 채집해서 샘플을 로봇을 통해 전송하면 돼.한 구역에서 전송 할 수 있는 최대 개수는 5개야. 명심해.
6,태오,알았어. 다른건?
7,연구원,다른건… 변이체에 대한거야. 유전자나 바이러스 때문에 생겨난 변이체들이 주변을 초토화 하던 시기야. 전송이 되자마자 몰려들거야.
,,미리 방어선을 쳐 둘 수 있으면 좋겠지만… 네가 전송될 포인트를 완벽히 알 방법이 없어. 
,,적어도 5분정도는 방어선을 칠 때까지 전투를 해야해. 
8,태오,오케이~ 그동안 훈련을 얼마나 열심히 받았는데. 샘플 그냥 아주 팍팍 보낼게!
9,연구원,5개밖에 못보낸다니까. 까불지말고. ...조심히 갔다와.
10,태오,어차피 네가 열심히 서포트해줄거잖아? 둘다 힘내보자고.
11,연구원,그래. 모든것은 인류의 존속을 위하여.
12,태오,모든것은 인류의 존속을 위하여.